date,balance,non-trade,cumm_pnl,daily_return,cumm_returns*
2019-12-25,145985.67,100000.0,45985.67,0.0,39.61239
2019-12-26,145985.67,100000.0,45985.67,0.0,39.61239
2019-12-27,145985.67,100000.0,45985.67,0.0,39.61239
2019-12-28,145985.67,100000.0,45985.67,0.0,39.61239
2019-12-29,145985.67,100000.0,45985.67,0.0,39.61239
2019-12-30,144629.6,100000.0,44629.6,-0.92891,38.68349
2019-12-31,144629.6,100000.0,44629.6,0.0,38.68349
2020-01-01,144629.6,100000.0,44629.6,0.0,38.68349
2020-01-02,144629.6,100000.0,44629.6,0.0,38.68349
2020-01-03,141657.52,100000.0,41657.52,-2.05496,36.62853
2020-01-04,141657.52,100000.0,41657.52,0.0,36.62853
2020-01-05,141657.52,100000.0,41657.52,0.0,36.62853
2020-01-06,143549.23,100000.0,43549.23,1.33541,37.96394
2020-01-07,152270.43,100000.0,52270.43,6.07541,44.03934
2020-01-08,153540.2,100000.0,53540.2,0.83389,44.87324
2020-01-09,152072.75,100000.0,52072.75,-0.95574,43.91749
2020-01-10,151808.35,100000.0,51808.35,-0.17386,43.74363
2020-01-11,151808.35,100000.0,51808.35,0.0,43.74363
2020-01-12,151808.35,100000.0,51808.35,0.0,43.74363
2020-01-13,151808.35,100000.0,51808.35,0.0,43.74363
2020-01-14,144946.78,100000.0,44946.78,-4.51989,39.22374
2020-01-15,146083.13,100000.0,46083.13,0.78398,40.00772
2020-01-16,147545.52,100000.0,47545.52,1.00107,41.00878
2020-01-17,148167.32,100000.0,48167.32,0.42143,41.43021
2020-01-18,148167.32,100000.0,48167.32,0.0,41.43021
2020-01-19,148167.32,100000.0,48167.32,0.0,41.43021
2020-01-20,148351.58,100000.0,48351.58,0.12436,41.55457
2020-01-21,148812.67,100000.0,48812.67,0.31081,41.86538
2020-01-22,148983.92,100000.0,48983.92,0.11508,41.98046
2020-01-23,149651.86,100000.0,49651.86,0.44833,42.42879
2020-01-24,150225.02,100000.0,50225.02,0.383,42.81178
2020-01-25,150225.02,100000.0,50225.02,0.0,42.81178
2020-01-26,150225.02,100000.0,50225.02,0.0,42.81178
2020-01-27,149276.76,100000.0,49276.76,-0.63123,42.18056
2020-01-28,151485.26,100000.0,51485.26,1.47947,43.66002
2020-01-29,151485.26,100000.0,51485.26,0.0,43.66002
2020-01-30,153803.44,100000.0,53803.44,1.5303,45.19033
2020-01-31,153337.81,100000.0,53337.81,-0.30274,44.88758
2020-02-01,153337.81,100000.0,53337.81,0.0,44.88758
2020-02-02,153337.81,100000.0,53337.81,0.0,44.88758
2020-02-03,153337.81,100000.0,53337.81,0.0,44.88758
2020-02-04,153480.3,100000.0,53480.3,0.09293,44.98051
2020-02-05,153732.87,100000.0,53732.87,0.16456,45.14507
2020-02-06,154489.09,100000.0,54489.09,0.49191,45.63697
2020-02-07,154865.15,100000.0,54865.15,0.24342,45.8804
2020-02-08,154865.15,100000.0,54865.15,0.0,45.8804
2020-02-09,154865.15,100000.0,54865.15,0.0,45.8804
2020-02-10,154243.41,100000.0,54243.41,-0.40147,45.47892
2020-02-11,154382.18,100000.0,54382.18,0.08997,45.56889
